facility_or_program_type,agency,report_date,date,series,exits,category,housing_category
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,adult_families,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,total_single_adults,NA,Voucher,Permanent Housing
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other
Supportive housing,HPD,05_2023,2023-05-01,families_with_children,0,Supportive housing,Permanent Housing
Supportive housing,HPD,05_2023,2023-05-01,adult_families,0,Supportive housing,Permanent Housing
Supportive housing,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing
Supportive housing,HPD,05_2023,2023-05-01,total_single_adults,0,Supportive housing,Permanent Housing
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,families_with_children,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,adult_families,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Transitional housing,Other
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,total_single_adults,NA,Transitional housing,Other
Unknown or unable to validate,HPD,05_2023,2023-05-01,families_with_children,0,Unknown,Unknown
Unknown or unable to validate,HPD,05_2023,2023-05-01,adult_families,0,Unknown,Unknown
Unknown or unable to validate,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Unknown,Unknown
Unknown or unable to validate,HPD,05_2023,2023-05-01,total_single_adults,0,Unknown,Unknown
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,families_with_children,13,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,adult_families,0,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,total_single_adults,0,Private market,Permanent Housing
Housing of friends or family,HRA,05_2023,2023-05-01,families_with_children,14,Family or friends,Permanent Housing
Housing of friends or family,HRA,05_2023,2023-05-01,adult_families,0,Family or friends,Permanent Housing
Housing of friends or family,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing
Housing of friends or family,HRA,05_2023,2023-05-01,total_single_adults,23,Family or friends,Permanent Housing
NYCHA,HRA,05_2023,2023-05-01,families_with_children,0,NYCHA,Permanent Housing
NYCHA,HRA,05_2023,2023-05-01,adult_families,0,NYCHA,Permanent Housing
NYCHA,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing
NYCHA,HRA,05_2023,2023-05-01,total_single_adults,0,NYCHA,Permanent Housing
Other,HRA,05_2023,2023-05-01,families_with_children,0,Other,Other
Other,HRA,05_2023,2023-05-01,adult_families,0,Other,Other
Other,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Other,Other
Other,HRA,05_2023,2023-05-01,total_single_adults,21,Other,Other
Other affordable housing- other housing,HRA,05_2023,2023-05-01,families_with_children,0,Affordable housing,Permanent Housing
Other affordable housing- other housing,HRA,05_2023,2023-05-01,adult_families,0,Affordable housing,Permanent Housing
Other affordable housing- other housing,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing
Other affordable housing- other housing,HRA,05_2023,2023-05-01,total_single_adults,0,Affordable housing,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,families_with_children,14,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,adult_families,10,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,total_single_adults,77,Voucher,Permanent Housing
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,families_with_children,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,adult_families,0,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Section 8,HRA,05_2023,2023-05-01,families_with_children,0,Voucher,Permanent Housing
Section 8,HRA,05_2023,2023-05-01,adult_families,0,Voucher,Permanent Housing
Section 8,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing
Section 8,HRA,05_2023,2023-05-01,total_single_adults,0,Voucher,Permanent Housing
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,families_with_children,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,families_with_children,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,adult_families,0,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other
Supportive housing,HRA,05_2023,2023-05-01,families_with_children,0,Supportive housing,Permanent Housing
Supportive housing,HRA,05_2023,2023-05-01,adult_families,0,Supportive housing,Permanent Housing
Supportive housing,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing
Supportive housing,HRA,05_2023,2023-05-01,total_single_adults,51,Supportive housing,Permanent Housing
Unknown or unable to validate,HRA,05_2023,2023-05-01,families_with_children,116,Unknown,Unknown
Unknown or unable to validate,HRA,05_2023,2023-05-01,adult_families,34,Unknown,Unknown
Unknown or unable to validate,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Unknown,Unknown
Unknown or unable to validate,HRA,05_2023,2023-05-01,total_single_adults,166,Unknown,Unknown
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,05_2023,2023-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,05_2023,2023-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,05_2023,2023-05-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,05_2023,2023-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,05_2023,2023-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,05_2023,2023-05-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing
